# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-12
---
'yi'xing'hu'xi'shuai'jie Ⅰ型呼吸衰竭
'jing'tai'xiong'kuo'shun'ying'xing 静态胸廓顺应性
'jing'xi'fei'xue'guan'zhang'li 静息肺血管张力
'jing'xi'fei'xue'guan'zu'li 静息肺血管阻力
'jing'xi'mei'fen'zhong'tong'qi'liang 静息每分钟通气量
'jing'xi'xue'guan'zhang'li 静息血管张力
'kai'fang'shi'hai'xi'shi'fa 开放式氦稀释法
'kai'fang'shi'hai'xi'shi'fa'kai'chong'fu'hu'xi'fa 开放式氦稀释法开重复呼吸法
'kai'fang'shi'dan'xi'shi'fa'kai'dan'ci'hu'xi'fa 开放式氮稀释法开单次呼吸法
'ke'ni'xing'qi'liu'shou'xian 可逆性气流受限
'kua'bi'ya 跨壁压
'kua'fei'ya 跨肺压
'kua'ge'ya 跨膈压
'kua'qi'dao'ya 跨气道压
'kua'xiong'bi'ya 跨胸壁压
'kua'xiong'ya 跨胸压
'lin'chuang'fei'bu'gan'ran'ping'fen 临床肺部感染评分
'liu'liang'bo'xing 流量波形
'liu'liang'ji'fa 流量计法
'liu'liang'jian'ce 流量监测
'liu'liang'rong'ji'qu'xian 流量-容积曲线
'liu'liang'shou'xian'zhi'shu 流量受限指数
'liu'liang'xing'ti'ji'miao'ji'yi 流量型体积描记仪
'liu'fu'hua'liu'xi'shi'fa 六氟化硫稀释法
'mai'chong'zhen'dang'ji'shu 脉冲振荡技术
'mao'xi'xue'guan'jing'shui'ya 毛细血管静水压
'mao'xi'xue'guan'kua'bi'ya 毛细血管跨壁压
'mao'xi'xue'guan'xue'yang'bao'he'du 毛细血管血氧饱和度
'mao'xi'xue'guan'xue'yang'fen'ya 毛细血管血氧分压
'mao'xi'xue'guan'xue'yang'han'liang 毛细血管血氧含量
'mei'bo'yang'hao'liang 每搏氧耗量
'liu'liang'liu'rong'ji'bo'xing 流量流容积波形
'mei'qian'ke'ti'zhong'yang'hao'liang 每千克体重氧耗量
'mei'sheng'fei'pao'rong'ji'de'yi'yang'hua'tan'mi'san'liang 每升肺泡容积的一氧化碳弥散量
'mi'san'xi'shu 弥散系数
'mi'bi'shi'hai'xi'shi'fa'dan'ci'hu'xi'fa 密闭式氦稀释法-单次呼吸法
'mi'bi'shi'dan'xi'shi'fa 密闭式氮稀释法
'mi'bi'shi'dan'xi'shi'fa'chong'fu'hu'xi'fa 密闭式氮稀释法-重复呼吸法
'mi'bi'shi'hai'xi'shi'fa 密闭式氦稀释法
'mi'bi'shi'hai'xi'shi'fa'chong'fu'hu'xi'fa 密闭式氦稀释法-重复呼吸法
'mi'bi'shi'hai'xi'shi'fa'dan'ci'hu'xi'fa 密闭式氦稀释法-单次呼吸法
'mo'ca'zu'li 摩擦阻力
'nong'du'zheng'xiang'guan'xing'qi'guan'gong'neng'shuai'jie'ping'jia 脓毒症相关性器官功能衰竭评价
'pin'lv'yi'lai'xing'dong'tai'shun'ying'xing 频率依赖性动态顺应性
'pin'pu'fen'xi'tu 频谱分析图
'pin'pu'wei'fen'jun'zhi'tu 频谱微分均值图
'ping'jun'qi'dao'ya 平均气道压
'ping'jun'xi'qi'liu'liang 平均吸气流量
'ping'tai'ya 平台压
'bing'qi'shi'jian 屏气时间
'bing'qi'shi'yan 屏气试验
'pou'xiong'tan'cha 剖胸探查
'qi'dao'chuan'dao'lv 气道传导率
'qi'dao'tan'xing'zu'li 气道弹性阻力
'qi'dao'er'yang'hua'tan'fen'ya 气道二氧化碳分压
'qi'dao'er'yang'hua'tan'nong'du 气道二氧化碳浓度
'qi'dao'fan'ying'xing 气道反应性
'qi'dao'feng'ya 气道峰压
'qi'dao'feng'ya'yu'ping'tai'ya'cha 气道峰压与平台压差
'qi'dao'gao'fan'ying'xing 气道高反应性
'qi'dao'guan'xing'zu'li 气道惯性阻力
'qi'dao'shun'ying'xing 气道顺应性
'qi'dao'ya 气道压
'qi'dao'yang'fen'ya 气道氧分压
'qi'dao'yang'nong'du 气道氧浓度
'qi'dao'yi'wu 气道异物
'qi'dao'zu'li 气道阻力
'qi'liu'chuan'dao'bi'zhi 气流传导比值
'qi'liu'chuan'dao'bi'zhi'xia'jiang'35%'ji'fa'ji'liang 气流传导比值下降35%激发剂量
'qi'liu'chuan'dao'bi'zhi'xia'jiang'35%'ji'fa'nong'du 气流传导比值下降35%激发浓度
'qi'liu'zu'li'cheng'liu'liang'yi'lai'xing 气流阻力呈流量依赖性
'qi'liu'zu'li'cheng'mian'ji'yi'lai'xing 气流阻力呈面积依赖性
'qi'nang'lou'qi'shi'yan 气囊漏气试验
'qi'ti'fen'xi'fa 气体分析法
'qi'su'zhi'shu 气速指数
'qi'ti'xian'bi'rong'ji 气体陷闭容积
'qi'ti'mi'san'su'lv 气体弥散速率
'qi'guan'gong'neng'zhang'ai'luo'ji'xing'ping'fen 器官功能障碍逻辑性评分
'qu'dong'ya 驱动压
'quan'xue'jian'sheng'yu 全血碱剩余
'rong'ji'bo'xing 容积波形
'rong'ji'jian'ce 容积监测
'rong'jie'er'yang'hua'tan 溶解二氧化碳
'rong'jie'xi'shu 溶解系数
'rong'jie'yang 溶解氧
'ru'suan'qing'chu'lv 乳酸清除率
'she'yang'liang 摄氧量
'shen'xi'qi'liang 深吸气量
'shen'chu'ye 渗出液
'shen'tou'ya 渗透压
'shi'jian'yong'li'hu'qi'rong'ji 时间用力呼气容积
'shi'ji'hu'xi'pin'lv 实际呼吸频率
'shi'ji'huan'chong'jian 实际缓冲碱
'shi'ji'jian'sheng'yu 实际碱剩余
'shi'ji'tan'suan'qing'yan 实际碳酸氢盐
'shi'ji'xi'hu'qi'shi'jian'bi 实际吸呼气时间比
'shi'ji'xi'qi'shi'jian'fen'shu 实际吸气时间分数
'shi'guan'nei'ya 食管内压
'shu'chu'chao'qi'rong'ji 输出潮气容积
'shun'ying'xing 顺应性
'song'chi'ya 松弛压
'song'qi'shi'jian 送气时间
'tan'xing'zu'li 弹性阻力
'tan'shui'hua'he'wu'hu'xi'shang 碳水化合物呼吸商
'tan'suan'yan 碳酸盐
'tan'suan'qing'yan 碳酸氢盐
'ti'ji'miao'ji'fa 体积描记法
'tan'suan'yan'huan'chong'jian 碳酸盐缓冲碱
'te'ding'hu'xi'pin'lv'shun'ying'xing 特定呼吸频率顺应性
'te'yi'xing'zhi'qi'guan'ji'fa'shi'yan 特异性支气管激发试验
'ti'xun'huan'ya'li 体循环压力
'tong'qi'chu'liang 通气储量
'tong'qi'chu'liang'bai'fen'bi 通气储量百分比
'tong'qi'shi'kong 通气失控
'tong'qi'xian'zhi 通气限制
'tong'qi'xue'liu'bi'li 通气血流比例
'tong'qi'ying'da 通气应答
'wai'zhou'zu'li 外周阻力
'wei'xing'hun'he'shi'fa 微型混合室法
'wei'ce'ding'yin'li'zi 未测定阴离子
'wei'ce'ding'yang'li'zi 未测定阳离子
'wu'chuang'mai'bo'yang'bao'he'du'fa 无创脉搏氧饱和度法
'wu'hun'he'shi'fa 无混合室法
'wu'xiao'qiang'qi'liang'yu'chao'qi'liang'bi'zhi 无效腔气量与潮气量比值
'wu'xiao'qiang'tong'qi'liang 无效腔通气量
'wu'yang'yu 无氧阈
'xi'chun'yang'shi'de'fei'pao'dong'mai'xue'yang'fen'ya'cha 吸纯氧时的肺泡-动脉血氧分压差
'xi'hu'qi'shi'jian'bi 吸呼气时间比
'xi'kong'qi'shi'de'fei'pao'dong'mai'xue'yang'fen'ya'cha 吸空气时的肺泡-动脉血氧分压差
'xi'qi'chao'qi'rong'ji 吸气潮气容积
'xi'qi'mo'fei'rong'liang 吸气末肺容量
'xi'qi'fei'huo'liang 吸气肺活量
'xi'qi'feng'liu'liang 吸气峰流量
'xi'qi'liu'liang 吸气流量
'xi'qi'qi'liu'shou'xian 吸气气流受限
'xi'qi'shi'jian 吸气时间
'xi'qi'shi'jian'fen'shu 吸气时间分数
'xi'qi'xiang'qi'dao'zu'li 吸气相气道阻力
'xi'qi'xiang'shi'jian 吸气相时间
'xi'qi'xiang'ya'li 吸气相压力
'xi'qi'ya'li'po'du 吸气压力坡度
'xi'ru'qi'er'yang'hua'tan'fen'ya 吸入气二氧化碳分压
'xi'ru'qi'er'yang'hua'tan'nong'du 吸入气二氧化碳浓度
'xi'ru'qi'yang'fen'ya 吸入气氧分压
'xi'ru'qi'yang'liu'liang 吸入气氧流量
'xi'ru'qi'yang'nong'du 吸入气氧浓度
'xi'bao'sun'shang'ping'fen 细胞损伤评分
'xi'bao'wai'ye'jian'sheng'yu 细胞外液碱剩余
'xian'wei'zhi'qi'guan'jing 纤维支气管镜
'xian'wei'zhi'qi'guan'jing'jian'cha 纤维支气管镜检查
'xian'xing'gong'lv'di'zeng'shi'yan 线性功率递增试验
'xiao'hun'he'shi'fa 小混合室法
'xin'shu'chu'liang 心输出量
'xiong'qiang'fu'ya 胸腔负压
'xiong'bu'CT'jian'cha 胸部CT检查
'xiong'bu'X'xian'jian'cha 胸部X线检查
'xiong'bu'chao'sheng'jian'cha 胸部超声检查
'xiong'bu'ci'gong'zhen'cheng'xiang 胸部磁共振成像
'xiong'kuo'tan'xing'zu'li 胸廓弹性阻力
'xiong'kuo'guan'xing'zu'li 胸廓惯性阻力
'xiong'kuo'nian'xing'zu'li 胸廓黏性阻力
'xiong'kuo'shun'ying'xing 胸廓顺应性
'xiong'kuo'ya'li'rong'ji'qu'xian 胸廓压力-容积曲线
'xiong'mo'huo'jian'shu 胸膜活检术
'xiong'mo'qiang'chuan'ci'shu 胸膜腔穿刺术
'xiong'mo'qiang'nei'ya 胸膜腔内压
'xiong'nei'qi'ti'rong'liang 胸内气体容量
'xiong'qiang'jing'jian'cha 胸腔镜检查
'xue'guan'xue'ya 血管血压
'xue'guan'zhang'li 血管张力
'xue'hong'dan'bai'yang'bao'he'du 血红蛋白氧饱和度
'xue'hong'dan'bai'yang'han'liang 血红蛋白氧含量
'xue'jiang'er'yang'hua'tan'zong'liang 血浆二氧化碳总量
'xue'jiang'shen'tou'ya'jian'xi 血浆渗透压间隙
'xue'liu'liang 血流量
'xue'qi 血气
'xue'qi'fen'xi 血气分析
'xue'rong'ji 血容积
'xue'yang'bao'he'du 血氧饱和度
'xue'yang'bao'he'du'50%'shi'de'yang'fen'ya 血氧饱和度50%时的氧分压
'xue'yang'han'liang 血氧含量
'xue'yang'rong'liang 血氧容量
'ya'li'bo'xing 压力波形
'ya'li'jian'ce 压力监测
'ya'li'po'du 压力坡度
'ya'li'rong'ji'bo'xing 压力-容积波形
'ya'li'rong'ji'bo'xing 压力容积波形
'ya'li'xing'ti'ji'miao'ji'yi 压力型体积描记仪
'ya'suo'rong'ji'zhi'shu 压缩容积指数
'yang'fen'ya 氧分压
'yang'fen'ya'ti'du'fen'bu 氧分压梯度分布
'yang'hao'liang 氧耗量
'yang'he'zhi'shu 氧合指数
'yang'jie'li'qu'xian 氧解离曲线
'yang'tong'qi'dang'liang 氧通气当量
'yi'kou'qi'jie'yi'kou'qi'fa 一口气接一口气法
'yi'miao'lv 一秒率
'yi'yang'hua'tan'mi'san'liang'ce'ding 一氧化碳弥散量测定
'yin'li'zi'xi 阴离子隙
'yin'qiu'jun'kang'yuan'ru'jiao'ning'ji'shi'yan 隐球菌抗原乳胶凝集试验
'ying'guang'zhi'qi'guan'jing 荧光支气管镜
'ying'zhi'zhi'qi'guan'jing 硬质支气管镜
'yong'li'fei'huo'liang 用力肺活量
'yong'li'hu'chu'25%'fei'huo'liang'de'hu'qi'liu'liang 用力呼出25%肺活量的呼气流量
'yong'li'hu'chu'50%'fei'huo'liang'de'hu'qi'liu'liang 用力呼出50%肺活量的呼气流量
'yong'li'hu'chu'50%'fei'huo'liang'de'hu'qi'liu'liang'yu'xi'qi'liu'liang'bi'zhi 用力呼出50%肺活量的呼气流量与吸气流量比值
'yong'li'hu'chu'75%'fei'huo'liang'de'hu'qi'liu'liang 用力呼出75%肺活量的呼气流量
'yong'li'xi'qi'fei'huo'liang 用力吸气肺活量
'yong'li'yi'lai'bu'fen 用力依赖部分
'you'xiao'shun'ying'xing 有效顺应性
'you'fang'shu'zhang'mo'ya 右房舒张末压
'you'xin'shi'kua'bi'ya 右心室跨壁压
'yun'dong'fu'he 运动负荷
'yun'dong'ji'fa'shi'yan 运动激发试验
'yun'dong'xin'fei'gong'neng'ce'shi 运动心肺功能测试
'zhen'duan'xing'xiong'qiang'chuan'ci'shu 诊断性胸腔穿刺术
'zheng'liu'shui'huo'gao'shen'yan'shui'ji'fa'shi'yan 蒸馏水或高渗盐水激发试验
'zheng'liu'shui'ji'fa'shi'yan 蒸馏水激发试验
'zheng'dian'zi'fa'she'ti'ceng'cheng'xiang 正电子发射体层成像
'zhi'qi'guan'fei'pao'guan'xi'shu 支气管肺泡灌洗术
'zhi'qi'guan'fei'pao'guan'xi'ye 支气管肺泡灌洗液
'zhi'qi'guan'ji'fa'shi'yan 支气管激发试验
'zhi'qi'guan'jing'jian'cha'shu 支气管镜检查术
'zi'zhu'hu'xi'shi'yan 自主呼吸试验
'zu'kang'chao'qi'hu'xi'tu 阻抗潮气呼吸图
'zhi'qi'guan'shu'zhang'shi'yan 支气管舒张试验
'zhi'fang'hu'xi'shang 脂肪呼吸商
'zhi'jie'ce'ding'fei'rong'liang 直接测定肺容量
'zhi'liao'xing'xiong'qiang'chuan'ci'shu 治疗性胸腔穿刺术
'zhong'xin'jing'mai'ya 中心静脉压
'zhong'xin'zu'li 中心阻力
'zong'hu'qi'mo'ya'li 总呼气末压力
'zong'hu'xi'pin'lv 总呼吸频率
'zong'ge'jing'jian'cha'shu 纵隔镜检查术
'zu'kang'rong'ji'tu 阻抗容积图
'zu'li'shi'jian 阻力时间
'zui'da'er'yang'hua'tan'chan'sheng'liang 最大二氧化碳产生量
'zui'da'er'yang'hua'tan'pai'chu'liang 最大二氧化碳排出量
'zui'da'ke'sou'liu'liang 最大咳嗽流量
'zui'da'hu'qi'liu'liang 最大呼气流量
'zui'da'hu'qi'liu'liang'rong'ji'qu'xian 最大呼气流量-容积曲线
'zui'da'hu'qi'ya 最大呼气压
'zui'da'kua'ge'ya 最大跨膈压
'zui'da'liu'liang'rong'ji'qu'xian 最大流量-容积曲线
'zui'da'mei'qian'ke'ti'zhong'yang'hao'liang 最大每千克体重氧耗量
'zui'da'ping'tai'ya 最大平台压
'zui'da'xi'qi'liu'liang 最大吸气流量
'zui'da'xi'qi'liu'liang'rong'ji'qu'xian 最大吸气流量-容积曲线
'zui'da'tong'qi'liang'ji'suan'zhi 最大通气量计算值
'zui'da'xi'qi'ya 最大吸气压
'zui'da'xin'lv'chu'bei 最大心率储备
'zui'da'yang'hao'liang 最大氧耗量
'zui'da'yun'dong'tong'qi'liang 最大运动通气量
'zui'da'zi'zhu'tong'qi'liang 最大自主通气量
'zui'di'ping'tai'ya 最低平台压
'zuo'fang'shu'zhang'mo'ya 左房舒张末压
'zuo'xin'shi'kua'bi'ya 左心室跨壁压
